"","X","Mix_names","Compound1","Compound2","x1","Vc"
"1","m20_methane+propane","methane+propane","methane","propane",0.14,"202"
"2","m21_methane+propane","methane+propane","methane","propane",0.3228,"159"
"3","m22_methane+propane","methane+propane","methane","propane",0.4691,"144"
"4","m23_methane+propane","methane+propane","methane","propane",0.5882,"130"
"5","m24_methane+propane","methane+propane","methane","propane",0.6772,"143"
"6","m25_methane+propane","methane+propane","methane","propane",0.7459,"102"
"7","m32_methane+propane","methane+propane","methane","propane",0.1,"178"
"8","m33_methane+propane","methane+propane","methane","propane",0.2,"166"
"9","m34_methane+propane","methane+propane","methane","propane",0.3,"153"
"10","m35_methane+propane","methane+propane","methane","propane",0.4,"142"
"11","m36_methane+propane","methane+propane","methane","propane",0.5,"130"
"12","m37_methane+propane","methane+propane","methane","propane",0.6,"119"
"13","m38_methane+propane","methane+propane","methane","propane",0.7,"108"
"14","m47_methane+butane","methane+butane","methane","butane",0.3609,"168.8"
"15","m48_methane+butane","methane+butane","methane","butane",0.4722,"147.1"
"16","m49_methane+butane","methane+butane","methane","butane",0.5503,"132.3"
"17","m50_methane+butane","methane+butane","methane","butane",0.6165,"121.9"
"18","m51_methane+butane","methane+butane","methane","butane",0.6718,"112.9"
"19","m52_methane+butane","methane+butane","methane","butane",0.7936,"105.6"
"20","m53_methane+butane","methane+butane","methane","butane",0.771,"97.4"
"21","m59_methane+pentane","methane+pentane","methane","pentane",0.295,"229.7"
"22","m60_methane+pentane","methane+pentane","methane","pentane",0.5211,"176"
"23","m61_methane+pentane","methane+pentane","methane","pentane",0.6705,"141"
"24","m62_methane+pentane","methane+pentane","methane","pentane",0.7665,"117"
"25","m63_methane+pentane","methane+pentane","methane","pentane",0.8236,"96.9"
"26","m65_methane+hexane","methane+hexane","methane","hexane",0.7466,"81.38"
"27","m77_methane+heptane","methane+heptane","methane","heptane",0.8,"106.4"
"28","m78_methane+heptane","methane+heptane","methane","heptane",0.815,"100"
"29","m79_methane+heptane","methane+heptane","methane","heptane",0.83,"91.7"
"30","m80_methane+heptane","methane+heptane","methane","heptane",0.85,"82.6"
"31","m81_methane+octane","methane+octane","methane","octane",0.787,"86.1"
"32","m82_methane+octane","methane+octane","methane","octane",0.798,"81.5"
"33","m83_methane+nonane","methane+nonane","methane","nonane",0.86,"88"
"34","m84_methane+nonane","methane+nonane","methane","nonane",0.872,"79.5"
"35","m85_methane+nonane","methane+nonane","methane","nonane",0.88,"73.4"
"36","m86_methane+nonane","methane+nonane","methane","nonane",0.885,"68.6"
"37","m87_methane+decane","methane+decane","methane","decane",0.739,"183.9"
"38","m88_methane+decane","methane+decane","methane","decane",0.798,"148"
"39","m89_methane+decane","methane+decane","methane","decane",0.833,"124"
"40","m90_methane+decane","methane+decane","methane","decane",0.857,"107"
"41","m91_methane+decane","methane+decane","methane","decane",0.877,"93"
"42","m92_methane+decane","methane+decane","methane","decane",0.891,"82.4"
"43","m93_methane+decane","methane+decane","methane","decane",0.898,"73.6"
"44","m94_methane+decane","methane+decane","methane","decane",0.857,"100"
"45","m95_methane+decane","methane+decane","methane","decane",0.87,"92.6"
"46","m96_methane+decane","methane+decane","methane","decane",0.875,"87"
"47","m97_methane+decane","methane+decane","methane","decane",0.885,"80"
"48","m98_methane+decane","methane+decane","methane","decane",0.905,"65.9"
"49","m105_ethane+butane","ethane+butane","ethane","butane",0.1749,"223.4"
"50","m106_ethane+butane","ethane+butane","ethane","butane",0.451,"188.2"
"51","m107_ethane+butane","ethane+butane","ethane","butane",0.6577,"162.1"
"52","m108_ethane+butane","ethane+butane","ethane","butane",0.8218,"148.8"
"53","m109_ethane+butane","ethane+butane","ethane","butane",0.9472,"139.8"
"54","m127_ethane+heptane","ethane+heptane","ethane","heptane",0.2654,"317.1"
"55","m128_ethane+heptane","ethane+heptane","ethane","heptane",0.5871,"221.2"
"56","m129_ethane+heptane","ethane+heptane","ethane","heptane",0.7709,"164.8"
"57","m130_ethane+heptane","ethane+heptane","ethane","heptane",0.8871,"139.4"
"58","m131_ethane+heptane","ethane+heptane","ethane","heptane",0.9683,"129.9"
"59","m142_ethane+decane","ethane+decane","ethane","decane",0.698,"244.4"
"60","m143_ethane+decane","ethane+decane","ethane","decane",0.788,"202.7"
"61","m144_ethane+decane","ethane+decane","ethane","decane",0.835,"173.9"
"62","m145_ethane+decane","ethane+decane","ethane","decane",0.888,"150.2"
"63","m146_ethane+decane","ethane+decane","ethane","decane",0.927,"126.2"
"64","m147_ethane+decane","ethane+decane","ethane","decane",0.964,"110.4"
"65","m148_ethane+decane","ethane+decane","ethane","decane",0.995,"133.7"
"66","m149_ethane+decane","ethane+decane","ethane","decane",0.977,"142"
"67","m150_propane+butane","propane+butane","propane","butane",0.203,"244"
"68","m151_propane+butane","propane+butane","propane","butane",0.339,"239"
"69","m152_propane+butane","propane+butane","propane","butane",0.516,"228"
"70","m153_propane+butane","propane+butane","propane","butane",0.695,"214"
"71","m154_propane+butane","propane+butane","propane","butane",0.855,"204"
"72","m157_propane+butane","propane+butane","propane","butane",0.147,"250"
"73","m158_propane+butane","propane+butane","propane","butane",0.309,"242"
"74","m159_propane+butane","propane+butane","propane","butane",0.521,"229"
"75","m160_propane+butane","propane+butane","propane","butane",0.755,"213"
"76","m161_propane+butane","propane+butane","propane","butane",0.826,"209"
"77","m162_propane+butane","propane+butane","propane","butane",0.926,"201"
"78","m164_propane+pentane","propane+pentane","propane","pentane",0.3498,"272"
"79","m165_propane+pentane","propane+pentane","propane","pentane",0.5557,"246"
"80","m166_propane+pentane","propane+pentane","propane","pentane",0.7921,"214"
"81","m167_propane+pentane","propane+pentane","propane","pentane",0.819,"211"
"82","m168_propane+pentane","propane+pentane","propane","pentane",0.147,"282"
"83","m169_propane+pentane","propane+pentane","propane","pentane",0.387,"251"
"84","m170_propane+pentane","propane+pentane","propane","pentane",0.616,"228"
"85","m171_propane+pentane","propane+pentane","propane","pentane",0.786,"213"
"86","m172_propane+pentane","propane+pentane","propane","pentane",0.878,"205"
"87","m173_propane+hexane","propane+hexane","propane","hexane",0.22,"355"
"88","m174_propane+hexane","propane+hexane","propane","hexane",0.46,"290"
"89","m175_propane+hexane","propane+hexane","propane","hexane",0.649,"250"
"90","m176_propane+hexane","propane+hexane","propane","hexane",0.76,"229"
"91","m177_propane+hexane","propane+hexane","propane","hexane",0.813,"219"
"92","m178_propane+hexane","propane+hexane","propane","hexane",0.918,"199"
"93","m179_propane+hexane","propane+hexane","propane","hexane",0.1435,"335.4"
"94","m180_propane+hexane","propane+hexane","propane","hexane",0.4437,"305.1"
"95","m181_propane+hexane","propane+hexane","propane","hexane",0.6996,"244.1"
"96","m182_propane+hexane","propane+hexane","propane","hexane",0.8201,"215.5"
"97","m183_propane+hexane","propane+hexane","propane","hexane",0.9218,"200.9"
"98","m189_propane+octane","propane+octane","propane","octane",0.214,"385"
"99","m190_propane+octane","propane+octane","propane","octane",0.331,"368"
"100","m191_propane+octane","propane+octane","propane","octane",0.573,"298"
"101","m192_propane+octane","propane+octane","propane","octane",0.718,"299"
"102","m193_propane+octane","propane+octane","propane","octane",0.775,"242"
"103","m194_propane+octane","propane+octane","propane","octane",0.864,"218"
"104","m195_propane+octane","propane+octane","propane","octane",0.959,"191"
"105","m196_propane+decane","propane+decane","propane","decane",0.712,"281"
"106","m197_propane+decane","propane+decane","propane","decane",0.7993,"236"
"107","m198_propane+decane","propane+decane","propane","decane",0.8673,"204"
"108","m199_propane+decane","propane+decane","propane","decane",0.9283,"201"
"109","m200_propane+decane","propane+decane","propane","decane",0.987,"200"
"110","m219_butane+heptane","butane+heptane","butane","heptane",0.159,"370.9"
"111","m220_butane+heptane","butane+heptane","butane","heptane",0.4249,"314.5"
"112","m221_butane+heptane","butane+heptane","butane","heptane",0.6311,"282.2"
"113","m222_butane+heptane","butane+heptane","butane","heptane",0.801,"262.9"
"114","m223_butane+heptane","butane+heptane","butane","heptane",0.9401,"252.7"
"115","m242_butane+decane","butane+decane","butane","decane",0.739,"310"
"116","m243_butane+decane","butane+decane","butane","decane",0.865,"263"
"117","m244_butane+decane","butane+decane","butane","decane",0.956,"250"
"118","m371_methane+cyclohexane","methane+cyclohexane","methane","cyclohexane",0.608,"126"
"119","m372_methane+cyclohexane","methane+cyclohexane","methane","cyclohexane",0.667,"109.1"
"120","m373_methane+cyclohexane","methane+cyclohexane","methane","cyclohexane",0.711,"94.8"
"121","m374_methane+cyclohexane","methane+cyclohexane","methane","cyclohexane",0.737,"84.5"
"122","m375_methane+cyclohexane","methane+cyclohexane","methane","cyclohexane",0.765,"74.9"
"123","m376_methane+cyclohexane","methane+cyclohexane","methane","cyclohexane",0.758,"69.9"
"124","m377_ethane+cyclohexane","ethane+cyclohexane","ethane","cyclohexane",0.1378,"261.9"
"125","m378_ethane+cyclohexane","ethane+cyclohexane","ethane","cyclohexane",0.2893,"226.5"
"126","m379_ethane+cyclohexane","ethane+cyclohexane","ethane","cyclohexane",0.4284,"229.5"
"127","m380_ethane+cyclohexane","ethane+cyclohexane","ethane","cyclohexane",0.502,"185.1"
"128","m383_ethane+cyclohexane","ethane+cyclohexane","ethane","cyclohexane",0.7298,"151.1"
"129","m384_ethane+cyclohexane","ethane+cyclohexane","ethane","cyclohexane",0.8617,"133"
"130","m492_methane+2-methylpropane","methane+2-methylpropane","methane","2-methylpropane",0.337,"190.3"
"131","m493_methane+2-methylpropane","methane+2-methylpropane","methane","2-methylpropane",0.558,"140.5"
"132","m494_methane+2-methylpropane","methane+2-methylpropane","methane","2-methylpropane",0.69,"116.1"
"133","m497_methane+2,2-dimethylpropane","methane+2,2-dimethylpropane","methane","2,2-dimethylpropane",0.845,"93.5"
"134","m509_ethane+prop-1-ene","ethane+prop-1-ene","ethane","prop-1-ene",0.0525,"172.1"
"135","m510_ethane+prop-1-ene","ethane+prop-1-ene","ethane","prop-1-ene",0.1031,"191.9"
"136","m511_ethane+prop-1-ene","ethane+prop-1-ene","ethane","prop-1-ene",0.3445,"180.7"
"137","m512_ethane+prop-1-ene","ethane+prop-1-ene","ethane","prop-1-ene",0.5285,"191.2"
"138","m513_ethane+prop-1-ene","ethane+prop-1-ene","ethane","prop-1-ene",0.8056,"150.9"
"139","m514_ethane+prop-1-ene","ethane+prop-1-ene","ethane","prop-1-ene",0.8989,"122.1"
"140","m515_ethane+prop-1-ene","ethane+prop-1-ene","ethane","prop-1-ene",0.9502,"146.9"
"141","m516_ethane+prop-1-ene","ethane+prop-1-ene","ethane","prop-1-ene",0.35,"160.6"
"142","m517_ethane+prop-1-ene","ethane+prop-1-ene","ethane","prop-1-ene",0.93,"142.9"
"143","m523_ethane+benzene","ethane+benzene","ethane","benzene",0.0646,"217.9"
"144","m524_ethane+benzene","ethane+benzene","ethane","benzene",0.199,"212.3"
"145","m525_ethane+benzene","ethane+benzene","ethane","benzene",0.2798,"195.8"
"146","m526_ethane+benzene","ethane+benzene","ethane","benzene",0.5012,"166.6"
"147","m527_ethane+benzene","ethane+benzene","ethane","benzene",0.6998,"153.5"
"148","m528_ethane+benzene","ethane+benzene","ethane","benzene",0.8756,"143.2"
"149","m529_propane+2-methylbutane","propane+2-methylbutane","propane","2-methylbutane",0.101,"284"
"150","m530_propane+2-methylbutane","propane+2-methylbutane","propane","2-methylbutane",0.393,"236"
"151","m531_propane+2-methylbutane","propane+2-methylbutane","propane","2-methylbutane",0.588,"216"
"152","m532_propane+2-methylbutane","propane+2-methylbutane","propane","2-methylbutane",0.794,"201"
"153","m533_propane+2-methylbutane","propane+2-methylbutane","propane","2-methylbutane",0.899,"197"
"154","m545_propane+2,2-dimethylbutane","propane+2,2-dimethylbutane","propane","2,2-dimethylbutane",0.1527,"337.2"
"155","m546_propane+2,2-dimethylbutane","propane+2,2-dimethylbutane","propane","2,2-dimethylbutane",0.449,"281.6"
"156","m547_propane+2,2-dimethylbutane","propane+2,2-dimethylbutane","propane","2,2-dimethylbutane",0.6587,"214.1"
"157","m548_propane+2,2-dimethylbutane","propane+2,2-dimethylbutane","propane","2,2-dimethylbutane",0.8205,"214.6"
"158","m549_propane+2,2-dimethylbutane","propane+2,2-dimethylbutane","propane","2,2-dimethylbutane",0.9194,"206.3"
"159","m550_propane+2,3-dimethylbutane","propane+2,3-dimethylbutane","propane","2,3-dimethylbutane",0.1516,"324"
"160","m551_propane+2,3-dimethylbutane","propane+2,3-dimethylbutane","propane","2,3-dimethylbutane",0.4522,"288.2"
"161","m552_propane+2,3-dimethylbutane","propane+2,3-dimethylbutane","propane","2,3-dimethylbutane",0.6508,"236.5"
"162","m553_propane+2,3-dimethylbutane","propane+2,3-dimethylbutane","propane","2,3-dimethylbutane",0.8257,"212.2"
"163","m554_propane+2,3-dimethylbutane","propane+2,3-dimethylbutane","propane","2,3-dimethylbutane",0.9153,"206.3"
"164","m555_propane+2-methylpentane","propane+2-methylpentane","propane","2-methylpentane",0.1497,"339.4"
"165","m556_propane+2-methylpentane","propane+2-methylpentane","propane","2-methylpentane",0.4446,"277.1"
"166","m557_propane+2-methylpentane","propane+2-methylpentane","propane","2-methylpentane",0.6488,"239.7"
"167","m558_propane+2-methylpentane","propane+2-methylpentane","propane","2-methylpentane",0.8196,"211.7"
"168","m559_propane+2-methylpentane","propane+2-methylpentane","propane","2-methylpentane",0.919,"199.3"
